"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2024","35,740","35,740","35,740","35,740","","0.00%"
"02/16/2024","35,740","35,670","35,775","35,480","4.46M","1.00%"
"02/15/2024","35,385","35,805","35,825","35,360","3.30M","-0.14%"
"02/14/2024","35,435","35,370","35,570","35,250","4.87M","-1.36%"
"02/13/2024","35,925","35,915","36,130","35,850","5.12M","1.23%"
"02/08/2024","35,490","35,595","35,755","35,430","4.30M","0.11%"
"02/07/2024","35,450","35,130","35,730","35,120","4.91M","1.42%"
"02/06/2024","34,955","34,945","35,250","34,750","7.23M","-0.38%"
"02/05/2024","35,090","35,425","35,425","34,650","6.52M","-1.21%"
"02/04/2024","35,520","35,520","35,520","35,520","","0.00%"
"02/02/2024","35,520","34,690","35,575","34,665","7.57M","3.23%"
"02/01/2024","34,410","33,790","34,465","33,775","4.86M","1.71%"
"01/31/2024","33,830","33,740","33,920","33,735","4.70M","-0.49%"
"01/30/2024","33,995","34,230","34,365","33,915","4.62M","-0.45%"
"01/29/2024","34,150","33,865","34,370","33,780","4.04M","1.19%"
"01/28/2024","33,750","33,750","33,750","33,750","","0.00%"
"01/26/2024","33,750","33,530","34,090","33,415","4.08M","0.18%"
"01/25/2024","33,690","33,670","33,740","33,480","4.92M","0.12%"
"01/24/2024","33,650","33,805","33,805","33,370","2.57M","-0.38%"
"01/23/2024","33,780","33,760","33,845","33,560","2.69M","0.52%"
"01/22/2024","33,605","33,925","33,945","33,605","3.48M","0.10%"
"01/19/2024","33,570","33,420","33,630","33,380","5.31M","1.50%"
"01/18/2024","33,075","33,015","33,185","32,840","6.78M","0.47%"
"01/17/2024","32,920","33,885","33,915","32,905","9.35M","-2.44%"
"01/16/2024","33,745","34,010","34,155","33,705","4.80M","-1.37%"
"01/15/2024","34,215","34,165","34,365","34,085","3.16M","0.43%"
"01/14/2024","34,070","34,070","34,070","34,070","","0.00%"
"01/12/2024","34,070","34,280","34,405","34,005","4.70M","-0.96%"
"01/11/2024","34,400","34,410","34,610","34,290","3.58M","0.16%"
"01/10/2024","34,345","34,725","34,795","34,320","2.37M","-1.09%"
"01/09/2024","34,725","35,310","35,365","34,630","5.36M","-0.37%"
"01/08/2024","34,855","35,155","35,245","34,815","3.88M","-0.33%"
"01/07/2024","34,970","34,970","34,970","34,970","","0.00%"
"01/05/2024","34,970","35,055","35,170","34,910","3.82M","-0.29%"
"01/04/2024","35,070","35,110","35,350","34,975","5.51M","-0.88%"
"01/03/2024","35,380","35,975","35,975","35,380","5.94M","-2.78%"
"01/02/2024","36,390","35,985","36,530","35,925","3.90M","0.61%"
"12/28/2023","36,170","35,600","36,170","35,540","6.38M","1.64%"
"12/27/2023","35,585","35,260","35,585","35,165","8.18M","1.11%"
"12/26/2023","35,195","35,225","35,250","35,025","2.46M","0.41%"
"12/22/2023","35,050","35,265","35,335","35,050","2.27M","0.31%"
"12/21/2023","34,940","34,910","35,060","34,775","3.40M","-0.65%"
